"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;activi1;impord1;activi2;impord2;activi3;impord3;activi4;impord4
0;&1;1;A;;;;;0.00;;;;;;;;;;;;;convenio;;;;;;;521191;0.00;NULL;;NULL;;NULL;
8;&1;1;T;201101;2011-02-07;2011-02-17;2011-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;845.89;NULL;;NULL;;NULL;
8;&1;1;T;201102;2011-03-07;2011-03-17;2011-03-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;527.62;NULL;;NULL;;NULL;
8;&1;1;T;201103;2011-04-08;2011-04-18;2011-05-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;826.25;NULL;;NULL;;NULL;
8;&1;1;T;201104;2011-05-07;2011-05-17;2011-06-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;890.19;NULL;;NULL;;NULL;
8;&1;1;T;201105;2011-06-07;2011-06-17;2011-06-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;817.12;NULL;;NULL;;NULL;
8;&1;1;T;201106;2011-07-08;2011-07-18;2011-07-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1028.25;NULL;;NULL;;NULL;
8;&1;1;T;201107;2011-08-07;2011-08-17;2011-08-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1103.86;NULL;;NULL;;NULL;
8;&1;1;T;201108;2011-09-09;2011-09-19;2011-09-19;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;890.62;NULL;;NULL;;NULL;
8;&1;1;T;201109;2011-10-07;2011-10-17;2011-10-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1035.65;NULL;;NULL;;NULL;
8;&1;1;T;201110;2011-11-07;2011-11-17;2011-11-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1050.28;NULL;;NULL;;NULL;
8;&1;1;T;201111;2011-12-06;2011-12-16;2011-12-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1038.38;NULL;;NULL;;NULL;
8;&1;1;T;201112;2012-01-07;2012-01-17;2012-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1664.93;NULL;;NULL;;NULL;
8;&1;1;T;201201;2012-02-06;2012-02-16;2012-02-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1353.37;NULL;;NULL;;NULL;
8;&1;1;T;201202;2012-03-06;2012-03-16;2012-03-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;905.19;NULL;;NULL;;NULL;
8;&1;1;T;201203;2012-04-06;2012-04-16;2012-04-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1069.39;NULL;;NULL;;NULL;
8;&1;1;T;201204;2012-05-07;2012-05-17;2012-05-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1046.12;NULL;;NULL;;NULL;
8;&1;1;T;201205;2012-06-05;2012-06-15;2012-06-15;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1325.09;NULL;;NULL;;NULL;
8;&1;1;T;201206;2012-07-06;2012-07-16;2012-07-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1621.91;NULL;;NULL;;NULL;
8;&1;1;T;201207;2012-08-06;2012-08-16;2012-08-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1381.74;NULL;;NULL;;NULL;
8;&1;1;T;201208;2012-09-07;2012-09-17;2012-09-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1266.34;NULL;;NULL;;NULL;
8;&1;1;T;201209;2012-10-05;2012-10-15;2012-10-15;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1080.22;NULL;;NULL;;NULL;
8;&1;1;T;201210;2012-11-09;2012-11-19;2012-11-19;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1416.76;NULL;;NULL;;NULL;
8;&1;1;T;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1455.40;NULL;;NULL;;NULL;
8;&1;1;T;201212;2013-01-07;2013-01-17;2013-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2078.88;NULL;;NULL;;NULL;
8;&1;1;T;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1605.43;NULL;;NULL;;NULL;
8;&1;1;T;201302;2013-03-08;2013-03-18;2013-03-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1128.68;NULL;;NULL;;NULL;
8;&1;1;T;201303;2013-04-08;2013-04-18;2013-04-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1412.21;NULL;;NULL;;NULL;
8;&1;1;T;201304;2013-05-08;2013-05-18;2013-05-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;942.89;NULL;;NULL;;NULL;
8;&1;1;T;201305;2013-06-08;2013-06-18;2013-06-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1426.00;NULL;;NULL;;NULL;
8;&1;1;T;201306;2013-07-08;2013-07-18;2013-07-18;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2011.01;NULL;;NULL;;NULL;
8;&1;1;T;201307;2013-08-06;2013-08-16;2013-08-16;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2415.54;NULL;;NULL;;NULL;
8;&1;1;T;201308;2013-09-07;2013-09-17;2013-09-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2054.71;NULL;;NULL;;NULL;
8;&1;1;T;201309;2013-10-07;2013-10-17;2013-10-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2508.92;NULL;;NULL;;NULL;
8;&1;1;T;201310;2013-11-05;2013-11-15;2013-11-15;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;3207.90;NULL;;NULL;;NULL;
8;&1;1;T;201311;2013-12-07;2013-12-17;2013-12-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2339.70;NULL;;NULL;;NULL;
8;&1;1;T;201312;2014-01-07;2014-01-17;2014-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;5345.35;NULL;;NULL;;NULL;
8;&1;1;T;201401;2014-02-07;2014-02-17;2014-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;2733.16;NULL;;NULL;;NULL;
8;&1;1;T;201402;2014-03-07;2014-03-17;2014-03-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;1106.30;NULL;;NULL;;NULL;
8;&1;1;T;201403;2014-04-07;2014-04-17;2014-04-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;92.25;NULL;;NULL;;NULL;
8;&1;1;A;201404;2014-05-07;2014-05-17;2014-05-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;0.00;NULL;;NULL;;NULL;
8;&1;1;A;201405;2014-06-20;2014-06-30;2014-06-30;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;0.00;NULL;;NULL;;NULL;
8;&1;1;A;201406;2014-07-07;2014-07-17;2014-07-17;0.00;;;;;;;;;;;;;convenio;;;;;;;523550;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201101;2011-02-07;2011-02-17;2011-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201102;2011-03-07;2011-03-17;2011-03-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201103;2011-04-08;2011-04-18;2011-05-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201104;2011-05-07;2011-05-17;2011-06-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201105;2011-06-07;2011-06-17;2011-06-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201106;2011-07-08;2011-07-18;2011-07-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201107;2011-08-07;2011-08-17;2011-08-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201108;2011-09-09;2011-09-19;2011-09-19;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201109;2011-10-07;2011-10-17;2011-10-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201110;2011-11-07;2011-11-17;2011-11-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201111;2011-12-06;2011-12-16;2011-12-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201112;2012-01-07;2012-01-17;2012-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201201;2012-02-06;2012-02-16;2012-02-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201202;2012-03-06;2012-03-16;2012-03-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201203;2012-04-06;2012-04-16;2012-04-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201204;2012-05-07;2012-05-17;2012-05-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201205;2012-06-05;2012-06-15;2012-06-15;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201206;2012-07-06;2012-07-16;2012-07-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201207;2012-08-06;2012-08-16;2012-08-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201208;2012-09-07;2012-09-17;2012-09-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201209;2012-10-05;2012-10-15;2012-10-15;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201210;2012-11-09;2012-11-19;2012-11-19;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201212;2013-01-07;2013-01-17;2013-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201302;2013-03-08;2013-03-18;2013-03-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201303;2013-04-08;2013-04-18;2013-04-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201304;2013-05-08;2013-05-18;2013-05-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201305;2013-06-08;2013-06-18;2013-06-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201306;2013-07-08;2013-07-18;2013-07-18;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201307;2013-08-06;2013-08-16;2013-08-16;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201308;2013-09-07;2013-09-17;2013-09-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201309;2013-10-07;2013-10-17;2013-10-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201310;2013-11-05;2013-11-15;2013-11-15;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201311;2013-12-07;2013-12-17;2013-12-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201312;2014-01-07;2014-01-17;2014-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201401;2014-02-07;2014-02-17;2014-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201402;2014-03-07;2014-03-17;2014-03-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201403;2014-04-07;2014-04-17;2014-04-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201404;2014-05-07;2014-05-17;2014-05-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201405;2014-06-20;2014-06-30;2014-06-30;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
17;&1;1;A;201406;2014-07-07;2014-07-17;2014-07-17;0.00;;;;;;;;;;;;;convenio;;;;;;;502990;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201101;2011-02-07;2011-02-17;2011-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201102;2011-03-07;2011-03-17;2011-03-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201103;2011-04-08;2011-04-18;2011-05-18;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201104;2011-05-07;2011-05-17;2011-06-16;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201105;2011-06-07;2011-06-17;2011-06-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201106;2011-07-08;2011-07-18;2011-07-18;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201107;2011-08-07;2011-08-17;2011-08-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201108;2011-09-09;2011-09-19;2011-09-19;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201109;2011-10-07;2011-10-17;2011-10-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201110;2011-11-07;2011-11-17;2011-11-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201111;2011-12-06;2011-12-16;2011-12-16;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201112;2012-01-07;2012-01-17;2012-01-17;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201201;2012-02-06;2012-02-16;2012-02-16;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
21;&1;1;A;201202;2012-03-06;2012-03-16;2012-03-16;0.00;;;;;;;;;;;;;convenio;;;;;;;151310;0.00;NULL;;NULL;;NULL;
26;&1;1;T;201101;2011-02-07;2011-02-17;2011-02-17;0.00;;;;;;;;;;;;;convenio;;;;;;;369990;39.99;NULL;;NULL;;NULL;
